,ROI,SystemTime,Timestamp,Pos,Left,Right
262,1,63722466962575,1378661,"(-0.3, 1.2, 10.0)",1,1
263,1,63722466962596,1378678,"(-0.3, 1.2, 10.0)",1,1
264,1,63722466962613,1378703,"(-0.3, 1.2, 10.0)",1,1
265,1,63722466962631,1378720,"(-0.3, 1.2, 10.0)",1,1
266,1,63722466962648,1378736,"(-0.3, 1.2, 10.0)",1,1
267,1,63722466962667,1378753,"(-0.2, 1.2, 10.0)",1,1
268,1,63722466962688,1378770,"(-0.2, 1.2, 10.0)",1,1
269,1,63722466962711,1378795,"(-0.2, 1.2, 10.0)",1,1
270,1,63722466962734,1378820,"(-0.3, 1.2, 10.0)",1,1
271,1,63722466962758,1378845,"(-0.3, 1.2, 10.0)",1,1
272,1,63722466962778,1378861,"(-0.3, 1.2, 10.0)",1,1
273,1,63722466962800,1378886,"(-0.3, 1.3, 10.0)",1,1
274,1,63722466962822,1378911,"(-0.3, 1.3, 10.0)",1,1
275,1,63722466962849,1378936,"(-0.3, 1.2, 10.0)",1,1
276,1,63722466962869,1378953,"(-0.3, 1.2, 10.0)",1,1
277,1,63722466962887,1378978,"(-0.3, 1.2, 10.0)",1,1
278,1,63722466962910,1378995,"(-0.3, 1.2, 10.0)",1,1
279,1,63722466962932,1379020,"(-0.3, 1.3, 10.0)",1,1
280,1,63722466962954,1379036,"(-0.3, 1.3, 10.0)",1,1
281,1,63722466962976,1379061,"(-0.3, 1.3, 10.0)",1,1
282,1,63722466962999,1379086,"(-0.3, 1.3, 10.0)",1,1
283,1,63722466963021,1379103,"(-0.3, 1.3, 10.0)",1,1
284,1,63722466963043,1379128,"(-0.3, 1.3, 10.0)",1,1
285,1,63722466963065,1379153,"(-0.3, 1.3, 10.0)",1,1
286,1,63722466963087,1379178,"(-0.3, 1.3, 10.0)",1,1
287,1,63722466963110,1379194,"(-0.3, 1.3, 10.0)",1,1
288,1,63722466963128,1379219,"(-0.3, 1.3, 10.0)",1,1
289,1,63722466963147,1379236,"(-0.3, 1.3, 10.0)",1,1
290,1,63722466963165,1379253,"(-0.3, 1.3, 10.0)",1,1
291,1,63722466963190,1379278,"(-0.3, 1.3, 10.0)",1,1
292,1,63722466963210,1379294,"(-0.3, 1.3, 10.0)",1,1
293,1,63722466963237,1379319,"(-0.3, 1.3, 10.0)",1,1
294,1,63722466963255,1379344,"(-0.3, 1.3, 10.0)",1,1
295,1,63722466963274,1379361,"(-0.3, 1.2, 10.0)",1,1
296,1,63722466963292,1379378,"(-0.3, 1.2, 10.0)",1,1
297,1,63722466963309,1379394,"(-0.3, 1.3, 10.0)",1,1
298,1,63722466963327,1379411,"(-0.3, 1.3, 10.0)",1,1
299,1,63722466963346,1379436,"(-0.3, 1.2, 10.0)",1,1
300,1,63722466963368,1379453,"(-0.3, 1.3, 10.0)",1,1
301,1,63722466963387,1379469,"(-0.3, 1.3, 10.0)",1,1
302,1,63722466963406,1379494,"(-0.3, 1.3, 10.0)",1,1
303,1,63722466963426,1379511,"(-0.3, 1.3, 10.0)",1,1
304,1,63722466963447,1379536,"(-0.3, 1.3, 10.0)",1,1
305,1,63722466963464,1379553,"(-0.3, 1.3, 10.0)",1,1
306,1,63722466963482,1379569,"(-0.3, 1.3, 10.0)",1,1
307,1,63722466963500,1379586,"(-0.3, 1.3, 10.0)",1,1
308,1,63722466963517,1379603,"(-0.3, 1.3, 10.0)",1,1
309,1,63722466963536,1379619,"(-0.3, 1.3, 10.0)",1,1
310,1,63722466963553,1379636,"(-0.3, 1.3, 10.0)",1,1
311,1,63722466963571,1379653,"(-0.3, 1.2, 10.0)",1,1
312,1,63722466963588,1379678,"(-0.3, 1.2, 10.0)",1,1
313,1,63722466963610,1379694,"(-0.3, 1.3, 10.0)",1,1
314,1,63722466963631,1379719,"(-0.3, 1.3, 10.0)",1,1
315,1,63722466963654,1379736,"(-0.3, 1.3, 10.0)",1,1
316,1,63722466963676,1379761,"(-0.3, 1.3, 10.0)",1,1
317,1,63722466963702,1379786,"(-0.2, 1.2, 10.0)",1,1
318,1,63722466963720,1379811,"(-0.2, 1.2, 10.0)",1,1
319,1,63722466963744,1379828,"(-0.2, 1.3, 10.0)",1,1
320,1,63722466963765,1379853,"(-0.3, 1.3, 10.0)",1,1
321,1,63722466963787,1379878,"(-0.3, 1.2, 10.0)",1,1
322,1,63722466963810,1379894,"(-0.3, 1.2, 10.0)",1,1
323,1,63722466963831,1379919,"(-0.3, 1.3, 10.0)",1,1
324,1,63722466963854,1379944,"(-0.3, 1.2, 10.0)",1,1
325,1,63722466963875,1379961,"(-0.3, 1.2, 10.0)",1,1
326,1,63722466963898,1379986,"(-0.3, 1.2, 10.0)",1,1
327,1,63722466963920,1380003,"(-0.3, 1.2, 10.0)",1,1
328,1,63722466963943,1380028,"(-0.3, 1.2, 10.0)",1,1
329,1,63722466963964,1380053,"(-0.3, 1.2, 10.0)",1,1
330,1,63722466963987,1380069,"(-0.3, 1.2, 10.0)",1,1
331,1,63722466964009,1380094,"(-0.3, 1.2, 10.0)",1,1
332,1,63722466964032,1380119,"(-0.3, 1.2, 10.0)",1,1
333,1,63722466964054,1380144,"(-0.3, 1.2, 10.0)",1,1
334,1,63722466964075,1380161,"(-0.3, 1.2, 10.0)",1,1
335,1,63722466964094,1380178,"(-0.3, 1.2, 10.0)",1,1
336,1,63722466964112,1380194,"(-0.3, 1.2, 10.0)",1,1
337,1,63722466964129,1380219,"(-0.3, 1.2, 10.0)",1,1
338,1,63722466964147,1380236,"(-0.3, 1.2, 10.0)",1,1
339,1,63722466964165,1380253,"(-0.3, 1.2, 10.0)",1,1
340,1,63722466964185,1380269,"(-0.3, 1.2, 10.0)",1,1
341,1,63722466964203,1380286,"(-0.3, 1.2, 10.0)",1,1
342,1,63722466964221,1380311,"(-0.3, 1.2, 10.0)",1,1
343,1,63722466964239,1380328,"(-0.3, 1.2, 10.0)",1,1
344,1,63722466964257,1380344,"(-0.3, 1.2, 10.0)",1,1
345,1,63722466964277,1380361,"(-0.3, 1.2, 10.0)",1,1
346,1,63722466964401,1380486,"(-0.3, 1.2, 10.0)",1,1
347,1,63722466964432,1380519,"(-0.3, 1.2, 10.0)",1,1
348,1,63722466964451,1380536,"(-0.3, 1.3, 10.0)",1,1
349,1,63722466964470,1380553,"(-0.3, 1.2, 10.0)",1,1
350,1,63722466964501,1380586,"(-0.3, 1.2, 10.0)",1,1
351,1,63722466964519,1380603,"(-0.3, 1.3, 10.0)",1,1
352,1,63722466964536,1380619,"(-0.3, 1.3, 10.0)",1,1
353,1,63722466964555,1380644,"(-0.3, 1.3, 10.0)",1,1
354,1,63722466964572,1380661,"(-0.3, 1.3, 10.0)",1,1
355,1,63722466964593,1380677,"(-0.3, 1.3, 10.0)",1,1
356,1,63722466964611,1380694,"(-0.3, 1.3, 10.0)",1,1
357,1,63722466964629,1380719,"(-0.3, 1.3, 10.0)",1,1
358,1,63722466964646,1380736,"(-0.3, 1.3, 10.0)",1,1
359,1,63722466964664,1380752,"(-0.3, 1.2, 10.0)",1,1
